Bond Series,Original Loan Amount,Loan Purchase Date ,Purchase Year,Original Loan To Value,Loan Type ,SONYMA DPAL/CCAL Amount,Original Term,County,FIPS Code,Number of Units,Property Type,Housing Type,Household Size 
Series 109/110,$32470,01/02/2004,2004,97%,Conventional,$2933,360,Monroe,36055,1 Family,Detached,Existing,1
Series 109/110,$48500,01/02/2004,2004,97%,Conventional,$3435,360,Genesee,36037,1 Family,Detached,Existing,4
Series 109/110,$49470,01/02/2004,2004,97%,Conventional,$4996,360,Monroe,36055,1 Family,Detached,Existing,3
Series 109/110,$58200,01/02/2004,2004,97%,Conventional,$4170,360,Erie,36029,1 Family,Detached,Existing,2
Series 109/110,$64990,01/02/2004,2004,97%,Conventional,$4940,360,Erie,36029,1 Family,Detached,Existing,3
Series 109/110,$64990,01/02/2004,2004,97%,Conventional,$4772,360,Schenectady,36093,1 Family,Detached,Existing,1
Series 109/110,$67900,01/02/2004,2004,97%,Conventional,$5000,360,Orleans,36073,1 Family,Detached,Existing,3
Series 109/110,$67900,01/02/2004,2004,97%,Conventional,$4845,360,Wayne,36117,1 Family,Detached,Existing,2
Series 109/110,$72775,01/02/2004,2004,97%,Conventional,$5000,360,Monroe,36055,1 Family,Detached,Existing,2
Series 109/110,$77115,01/02/2004,2004,97%,Conventional,$5000,360,Broome,36007,1 Family,Detached,Existing,2
Series 109/110,$82353,01/02/2004,2004,97%,Conventional,$5000,360,Erie,36029,1 Family,Detached,Existing,1
Series 109/110,$82450,01/02/2004,2004,97%,Conventional,$5000,360,Schenectady,36093,1 Family,Detached,Existing,2
Series 109/110,$87300,01/02/2004,2004,97%,Conventional,$5000,360,Steuben,36101,1 Family,Detached,Existing,3
Series 109/110,$111550,01/02/2004,2004,97%,Conventional,$5000,360,Allegany,36003,1 Family,Detached,Existing,2
Series 109/110,$122705,01/02/2004,2004,97%,Conventional,$6135,360,Ulster,36111,1 Family,Detached,Existing,1
Series 109/110,$130950,01/02/2004,2004,97%,Conventional,$6548,360,Chenango,36017,1 Family,Detached,Existing,3
Series 109/110,$58200,01/02/2004,2004,97%,Conventional,$4086,360,Erie,36029,2 Family,Detached,Existing,1
Series 109/110,$42680,01/02/2004,2004,97%,Conventional,$3592,360,Schenectady,36093,1 Family,Condominium,Existing,1
Series 109/110,$71780,01/02/2004,2004,97%,Conventional,$5000,360,Monroe,36055,1 Family,Condominium,Existing,1
Series 109/110,$174794,01/02/2004,2004,97%,Conventional,$8650,360,Dutchess,36027,1 Family,Condominium,Existing,1
Series 109/110,$83900,01/02/2004,2004,96.99%,Conventional,$3267,360,Monroe,36055,1 Family,Detached,Existing,1
Series 109/110,$86300,01/02/2004,2004,96.97%,Conventional,$5000,360,Erie,36029,1 Family,Detached,Existing,1
Series 109/110,$84350,01/02/2004,2004,96.95%,Conventional,,360,Albany,36001,1 Family,Detached,Existing,2
Series 109/110,$75100,01/02/2004,2004,96.9%,Conventional,$4468,360,Broome,36007,1 Family,Detached,Existing,3
Series 109/110,$52300,01/02/2004,2004,96.85%,Conventional,$4383,360,Monroe,36055,1 Family,Detached,Existing,1
Series 109/110,$80000,01/02/2004,2004,96.5%,Conventional,$4218,360,Erie,36029,2 Family,Detached,Existing,1
Series 109/110,$101000,01/02/2004,2004,96.19%,Conventional,,360,Rensselaer,36083,2 Family,Detached,Existing,1
Series 109/110,$33250,01/02/2004,2004,95%,Conventional,$4549,360,Oswego,36075,1 Family,Detached,Existing,1
Series 109/110,$72200,01/02/2004,2004,95%,Conventional,$4918,360,Chautauqua,36013,1 Family,Detached,Existing,2
Series 109/110,$76000,01/02/2004,2004,95%,Conventional,$3562,360,Cattaraugus,36009,1 Family,Detached,Existing,1
Series 109/110,$81700,01/02/2004,2004,95%,Conventional,$5000,360,Washington,36115,1 Family,Detached,Existing,2
Series 109/110,$83600,01/02/2004,2004,95%,Conventional,$5000,360,Chemung,36015,1 Family,Detached,Existing,3
Series 109/110,$89775,01/02/2004,2004,95%,Conventional,$5000,360,Monroe,36055,1 Family,Detached,Existing,1
Series 109/110,$145200,01/02/2004,2004,95%,Step,$5314,360,Monroe,36055,1 Family,Detached,New,7
Series 109/110,$175750,01/02/2004,2004,95%,Conventional,$8783,360,Suffolk,36103,1 Family,Detached,Existing,1
Series 109/110,$180500,01/02/2004,2004,95%,Conventional,$8271,360,Suffolk,36103,1 Family,Detached,New,3
Series 109/110,$237500,01/02/2004,2004,95%,Conventional,$10666,360,Suffolk,36103,1 Family,Detached,Existing,3
Series 109/110,$243675,01/02/2004,2004,95%,Conventional,,480,Westchester,36119,1 Family,Detached,Existing,4
Series 109/110,$270750,01/02/2004,2004,95%,Conventional,$13538,360,Suffolk,36103,1 Family,Detached,Existing,4
Series 109/110,$83450,01/02/2004,2004,94.99%,Conventional,$2720,360,Erie,36029,1 Family,Detached,Existing,1
Series 109/110,$90000,01/02/2004,2004,94.74%,Conventional,$5000,360,Erie,36029,1 Family,Detached,Existing,1
Series 109/110,$87000,01/02/2004,2004,93.55%,Conventional,$4578,360,Erie,36029,1 Family,Detached,Existing,2
Series 109/110,$160750,01/02/2004,2004,93.19%,Conventional,$5268,360,Suffolk,36103,1 Family,Detached,Existing,4
Series 109/110,$169500,01/02/2004,2004,91.87%,Conventional,$7596,360,Dutchess,36027,2 Family,Detached,Existing,3
Series 109/110,$250000,01/02/2004,2004,91.74%,Conventional,$11782,360,Queens,36081,1 Family,Detached,Existing,3
Series 109/110,$71100,01/02/2004,2004,90%,Conventional,$3364,360,Wyoming,36121,1 Family,Detached,Existing,2
Series 109/110,$76500,01/02/2004,2004,90%,Conventional,$4393,360,Erie,36029,1 Family,Detached,Existing,3
Series 109/110,$207000,01/02/2004,2004,90%,Conventional,$9528,360,Suffolk,36103,1 Family,Detached,Existing,3
Series 109/110,$220500,01/02/2004,2004,90%,Conventional,$8436,360,Richmond,36085,1 Family,Detached,Existing,2
Series 109/110,$240500,01/02/2004,2004,87.45%,Conventional,,360,Westchester,36119,1 Family,Condominium,Existing,1
Series 109/110,$72250,01/02/2004,2004,85%,Conventional,,360,Sullivan,36105,1 Family,Detached,Existing,1
Series 109/110,$95200,01/02/2004,2004,85%,Conventional,,360,Albany,36001,1 Family,Detached,Existing,3
Series 109/110,$61520,01/02/2004,2004,80%,Conventional,,360,Erie,36029,1 Family,Detached,Existing,1
Series 109/110,$77600,01/02/2004,2004,80%,Conventional,$5000,360,Erie,36029,1 Family,Detached,Existing,1
